project_id,project_name,project_type,region,status,budget,planned_start_date,planned_end_date,lead_subcontractor_id
PRJ-0026,Project 26 - Residential,Residential,South East,Cancelled,7847730.0,2024-10-06,2025-07-07,SUB-0054
PRJ-0027,Project 27 - Infrastructure,Infrastructure,Wales,Planning,7137683.19,2024-10-03,2025-09-30,SUB-0051
PRJ-0028,Project 28 - Infrastructure,Infrastructure,North West,In Progress,30743883.58,2024-04-21,2024-10-14,SUB-0095
PRJ-0029,Project 29 - Infrastructure,Infrastructure,Midlands,In Progress,29621159.3,2025-01-23,2026-01-25,SUB-0064
PRJ-0030,Project 30 - Infrastructure,Infrastructure,London,In Progress,23969567.42,2024-05-06,2026-03-09,SUB-0061
PRJ-0031,Project 31 - Commercial,Commercial,North West,Completed,32573449.87,2024-02-08,2025-05-16,SUB-0023
PRJ-0032,Project 32 - Infrastructure,Infrastructure,North West,Completed,27682646.99,2024-09-17,2026-01-19,SUB-0059
PRJ-0033,Project 33 - Commercial,Commercial,Scotland,In Progress,36966931.58,2024-07-30,2025-12-07,SUB-0044
PRJ-0034,Project 34 - Industrial,Industrial,Wales,In Progress,26253618.18,2024-12-20,2025-07-04,SUB-0056
PRJ-0035,Project 35 - Industrial,Industrial,Scotland,In Progress,6234907.85,2024-04-08,2025-02-10,SUB-0080
PRJ-0036,Project 36 - Residential,Residential,South West,Planning,14390266.09,2024-01-29,2025-10-31,SUB-0006
PRJ-0037,Project 37 - Infrastructure,Infrastructure,South West,Completed,1226800.76,2024-07-14,2025-02-22,SUB-0034
PRJ-0038,Project 38 - Industrial,Industrial,South West,In Progress,8103838.5,2024-11-26,2026-05-23,SUB-0044
PRJ-0039,Project 39 - Industrial,Industrial,Scotland,Cancelled,49775491.39,2024-09-24,2025-04-03,SUB-0061
PRJ-0040,Project 40 - Industrial,Industrial,North West,Completed,35417615.09,2024-11-04,2025-11-13,SUB-0045
PRJ-0041,Project 41 - Renovation,Renovation,North West,In Progress,26491871.0,2025-01-05,2026-05-24,SUB-0039
PRJ-0042,Project 42 - Commercial,Commercial,Midlands,Completed,49462083.63,2024-03-06,2025-09-03,SUB-0047
PRJ-0043,Project 43 - Residential,Residential,South West,In Progress,22688157.86,2024-03-21,2025-12-04,SUB-0056
PRJ-0044,Project 44 - Residential,Residential,London,Completed,21972061.85,2024-06-06,2025-04-19,SUB-0085
PRJ-0045,Project 45 - Infrastructure,Infrastructure,North West,On Hold,2710129.9,2025-01-02,2025-07-31,SUB-0047
PRJ-0046,Project 46 - Commercial,Commercial,North West,In Progress,29529036.06,2024-04-03,2024-11-24,SUB-0064
PRJ-0047,Project 47 - Renovation,Renovation,Midlands,On Hold,32060640.67,2024-01-06,2024-06-24,SUB-0050
PRJ-0048,Project 48 - Industrial,Industrial,South East,Completed,3376369.85,2024-09-16,2025-09-15,SUB-0056
PRJ-0049,Project 49 - Renovation,Renovation,Wales,On Hold,24387339.18,2024-10-24,2026-01-10,SUB-0037
PRJ-0050,Project 50 - Industrial,Industrial,South West,In Progress,45522836.07,2024-11-03,2026-04-20,SUB-0054
PRJ-0051,Project 51 - Industrial,Industrial,North West,In Progress,26804846.53,2024-02-18,2025-11-09,SUB-0059
PRJ-0052,Project 52 - Industrial,Industrial,North West,On Hold,31726195.9,2024-02-11,2024-06-23,SUB-0052
PRJ-0053,Project 53 - Industrial,Industrial,North West,Planning,46409292.7,2024-01-04,2024-11-22,SUB-0018
PRJ-0054,Project 54 - Commercial,Commercial,North West,Completed,862065.59,2024-06-28,2025-07-05,SUB-0070
PRJ-0055,Project 55 - Infrastructure,Infrastructure,Scotland,Cancelled,31207706.63,2024-03-09,2025-09-01,SUB-0028
PRJ-0056,Project 56 - Renovation,Renovation,South West,On Hold,36174449.36,2024-07-10,2026-06-20,SUB-0088
PRJ-0057,Project 57 - Industrial,Industrial,Scotland,Planning,36754468.4,2024-09-06,2026-04-18,SUB-0097
PRJ-0058,Project 58 - Residential,Residential,Scotland,Completed,48505848.28,2024-06-25,2025-11-16,SUB-0081
PRJ-0059,Project 59 - Commercial,Commercial,South West,Completed,17651396.63,2024-03-02,2024-12-19,SUB-0099
PRJ-0060,Project 60 - Renovation,Renovation,London,Completed,24740137.22,2024-02-19,2024-12-13,SUB-0001
PRJ-0061,Project 61 - Residential,Residential,North West,In Progress,39787266.45,2024-12-09,2026-01-11,SUB-0099
PRJ-0062,Project 62 - Residential,Residential,Scotland,Completed,46272732.53,2024-02-03,2024-10-13,SUB-0065
PRJ-0063,Project 63 - Infrastructure,Infrastructure,London,Planning,5909473.41,2024-04-05,2024-08-25,SUB-0083
PRJ-0064,Project 64 - Industrial,Industrial,South East,Completed,43340099.13,2024-09-27,2026-04-27,SUB-0094
PRJ-0065,Project 65 - Renovation,Renovation,North West,In Progress,31283939.78,2024-06-06,2026-01-27,SUB-0074
PRJ-0066,Project 66 - Commercial,Commercial,London,In Progress,34025726.27,2024-12-09,2025-12-30,SUB-0024
PRJ-0067,Project 67 - Infrastructure,Infrastructure,South East,Completed,12264088.99,2024-10-30,2025-10-25,SUB-0003
PRJ-0068,Project 68 - Residential,Residential,North West,On Hold,15297710.73,2024-12-07,2026-02-14,SUB-0042
PRJ-0069,Project 69 - Renovation,Renovation,London,On Hold,9785887.26,2024-06-28,2025-06-21,SUB-0060
PRJ-0070,Project 70 - Industrial,Industrial,North West,Completed,40467864.5,2024-02-03,2025-07-12,SUB-0068
PRJ-0071,Project 71 - Infrastructure,Infrastructure,South West,In Progress,28956160.52,2024-09-12,2025-07-06,SUB-0100
PRJ-0072,Project 72 - Infrastructure,Infrastructure,South East,Completed,19922270.1,2025-02-03,2026-10-29,SUB-0019
PRJ-0073,Project 73 - Infrastructure,Infrastructure,North West,In Progress,3824750.11,2024-03-28,2025-05-20,SUB-0092
PRJ-0074,Project 74 - Commercial,Commercial,London,In Progress,31909743.12,2024-03-21,2025-06-16,SUB-0036
PRJ-0075,Project 75 - Residential,Residential,Wales,Completed,27272403.53,2024-06-28,2025-07-05,SUB-0035
PRJ-0076,Project 76 - Residential,Residential,Wales,In Progress,16604465.16,2024-04-23,2025-03-17,SUB-0099
PRJ-0077,Project 77 - Residential,Residential,Wales,Completed,32845240.85,2024-05-02,2025-07-13,SUB-0091
PRJ-0078,Project 78 - Renovation,Renovation,Midlands,In Progress,8194357.42,2024-04-29,2026-01-21,SUB-0003
PRJ-0079,Project 79 - Industrial,Industrial,London,Completed,39299293.41,2024-01-01,2024-10-16,SUB-0088
PRJ-0080,Project 80 - Infrastructure,Infrastructure,Scotland,Cancelled,33892575.11,2024-06-24,2026-03-22,SUB-0064
PRJ-0081,Project 81 - Industrial,Industrial,Midlands,In Progress,28327451.32,2024-09-25,2026-07-18,SUB-0082
PRJ-0082,Project 82 - Renovation,Renovation,South East,Cancelled,25880237.18,2024-02-10,2025-02-20,SUB-0032
PRJ-0083,Project 83 - Residential,Residential,Wales,Planning,2533415.12,2024-02-25,2024-07-15,SUB-0044
PRJ-0084,Project 84 - Residential,Residential,London,In Progress,26046346.16,2024-04-08,2025-07-15,SUB-0006
PRJ-0085,Project 85 - Renovation,Renovation,South West,In Progress,3496158.32,2024-01-20,2024-06-18,SUB-0032
PRJ-0086,Project 86 - Commercial,Commercial,Midlands,In Progress,20009225.97,2024-10-06,2025-10-30,SUB-0090
PRJ-0087,Project 87 - Industrial,Industrial,North West,On Hold,561036.59,2024-03-01,2024-06-29,SUB-0042
PRJ-0088,Project 88 - Commercial,Commercial,Scotland,In Progress,21850687.5,2024-07-22,2025-05-02,SUB-0012
PRJ-0089,Project 89 - Infrastructure,Infrastructure,Scotland,In Progress,12502901.22,2024-07-05,2026-03-21,SUB-0079
PRJ-0090,Project 90 - Industrial,Industrial,South East,In Progress,16871419.23,2024-07-10,2026-04-08,SUB-0092
PRJ-0091,Project 91 - Industrial,Industrial,Scotland,Completed,7947473.57,2024-07-12,2024-12-08,SUB-0094
PRJ-0092,Project 92 - Infrastructure,Infrastructure,London,On Hold,958359.2,2024-01-19,2024-11-25,SUB-0061
PRJ-0093,Project 93 - Residential,Residential,Midlands,Completed,12461125.98,2024-11-22,2025-04-09,SUB-0019
PRJ-0094,Project 94 - Commercial,Commercial,South East,On Hold,734698.95,2024-08-15,2025-04-30,SUB-0009
PRJ-0095,Project 95 - Industrial,Industrial,Scotland,Completed,42846831.32,2024-08-01,2025-12-05,SUB-0086
PRJ-0096,Project 96 - Commercial,Commercial,Wales,In Progress,30369510.49,2024-04-11,2025-01-05,SUB-0030
PRJ-0097,Project 97 - Residential,Residential,South West,In Progress,40061069.35,2024-02-01,2025-01-02,SUB-0099
PRJ-0098,Project 98 - Residential,Residential,Midlands,In Progress,16222963.9,2024-08-28,2025-06-21,SUB-0012
PRJ-0099,Project 99 - Residential,Residential,South West,Planning,8691644.0,2024-12-10,2025-04-26,SUB-0008
PRJ-0100,Project 100 - Industrial,Industrial,South East,Completed,16199081.97,2024-10-17,2026-07-06,SUB-0066
PRJ-0101,Project 101 - Commercial,Commercial,Midlands,In Progress,34808223.63,2024-02-29,2025-06-19,SUB-0090
PRJ-0102,Project 102 - Commercial,Commercial,Scotland,Cancelled,698376.43,2024-03-10,2025-10-27,SUB-0007
PRJ-0103,Project 103 - Residential,Residential,South East,In Progress,44916458.89,2024-08-09,2026-07-25,SUB-0002
PRJ-0104,Project 104 - Infrastructure,Infrastructure,Scotland,Completed,14022765.98,2024-12-18,2025-12-22,SUB-0010
PRJ-0105,Project 105 - Renovation,Renovation,London,Completed,41894136.25,2024-06-27,2025-10-16,SUB-0006
PRJ-0106,Project 106 - Industrial,Industrial,South East,In Progress,43757480.65,2024-01-08,2024-06-07,SUB-0019
PRJ-0107,Project 107 - Residential,Residential,Midlands,In Progress,34042227.8,2024-09-04,2026-01-03,SUB-0026
PRJ-0108,Project 108 - Infrastructure,Infrastructure,Scotland,Completed,49179145.26,2024-10-17,2026-05-17,SUB-0054
PRJ-0109,Project 109 - Commercial,Commercial,Wales,Completed,26251388.32,2025-01-04,2026-03-08,SUB-0042
PRJ-0110,Project 110 - Commercial,Commercial,London,On Hold,20052858.38,2024-06-12,2026-04-26,SUB-0043
PRJ-0111,Project 111 - Commercial,Commercial,North West,In Progress,10377328.65,2024-07-06,2025-01-31,SUB-0069
PRJ-0112,Project 112 - Residential,Residential,Wales,In Progress,23755143.96,2024-12-09,2026-11-19,SUB-0092
PRJ-0113,Project 113 - Residential,Residential,South East,In Progress,37214962.32,2024-09-14,2026-06-23,SUB-0074
PRJ-0114,Project 114 - Industrial,Industrial,South West,Completed,5678447.29,2024-10-19,2026-01-02,SUB-0066
PRJ-0115,Project 115 - Renovation,Renovation,Wales,Planning,10617669.67,2024-10-06,2026-07-07,SUB-0091
PRJ-0116,Project 116 - Renovation,Renovation,London,Cancelled,19168661.68,2024-10-24,2025-11-21,SUB-0044
PRJ-0117,Project 117 - Residential,Residential,South East,In Progress,30632685.88,2025-01-07,2026-10-21,SUB-0072
PRJ-0118,Project 118 - Industrial,Industrial,North West,Completed,46801377.79,2024-08-20,2025-08-05,SUB-0058
PRJ-0119,Project 119 - Infrastructure,Infrastructure,North West,In Progress,6989880.3,2024-01-28,2024-09-22,SUB-0047
PRJ-0120,Project 120 - Industrial,Industrial,South East,In Progress,47767470.4,2024-03-06,2025-01-04,SUB-0034
PRJ-0121,Project 121 - Renovation,Renovation,Scotland,On Hold,14266611.17,2024-03-20,2024-09-15,SUB-0025
PRJ-0122,Project 122 - Renovation,Renovation,Midlands,In Progress,23686623.74,2024-03-21,2026-02-24,SUB-0048
PRJ-0123,Project 123 - Infrastructure,Infrastructure,London,Cancelled,32799700.44,2024-02-21,2024-07-17,SUB-0026
PRJ-0124,Project 124 - Infrastructure,Infrastructure,London,In Progress,15091310.5,2024-07-17,2026-04-28,SUB-0068
PRJ-0125,Project 125 - Industrial,Industrial,South West,Cancelled,49127150.81,2024-04-30,2026-02-05,SUB-0077
PRJ-0126,Project 126 - Residential,Residential,London,In Progress,15571093.06,2025-01-16,2026-05-04,SUB-0036
PRJ-0127,Project 127 - Industrial,Industrial,South West,Completed,27347037.91,2024-06-19,2024-12-14,SUB-0056
PRJ-0128,Project 128 - Residential,Residential,Midlands,In Progress,42670691.31,2024-03-07,2024-08-23,SUB-0053
PRJ-0129,Project 129 - Industrial,Industrial,South West,In Progress,20540320.74,2024-07-28,2026-02-09,SUB-0059
PRJ-0130,Project 130 - Industrial,Industrial,South West,In Progress,47106173.41,2024-10-31,2025-03-18,SUB-0012
PRJ-0131,Project 131 - Infrastructure,Infrastructure,South West,In Progress,42400687.54,2024-04-03,2026-01-20,SUB-0013
PRJ-0132,Project 132 - Commercial,Commercial,North West,In Progress,12640319.16,2024-03-12,2025-08-04,SUB-0062
PRJ-0133,Project 133 - Residential,Residential,South East,In Progress,26777094.52,2024-02-23,2025-11-14,SUB-0072
PRJ-0134,Project 134 - Residential,Residential,Midlands,In Progress,47030941.03,2024-04-09,2025-02-22,SUB-0072
PRJ-0135,Project 135 - Commercial,Commercial,North West,In Progress,26722410.48,2024-01-02,2025-08-10,SUB-0089
PRJ-0136,Project 136 - Infrastructure,Infrastructure,Scotland,In Progress,6720360.72,2024-08-02,2026-04-09,SUB-0040
PRJ-0137,Project 137 - Commercial,Commercial,South West,In Progress,27943619.33,2024-02-05,2025-03-20,SUB-0096
PRJ-0138,Project 138 - Residential,Residential,Midlands,Planning,6388188.88,2024-03-24,2024-10-28,SUB-0096
PRJ-0139,Project 139 - Commercial,Commercial,Wales,In Progress,20322336.64,2024-01-01,2024-11-08,SUB-0092
PRJ-0140,Project 140 - Renovation,Renovation,Midlands,Cancelled,41006239.5,2024-07-31,2025-12-29,SUB-0053
PRJ-0141,Project 141 - Residential,Residential,South West,On Hold,17398659.84,2024-05-28,2025-07-03,SUB-0075
PRJ-0142,Project 142 - Commercial,Commercial,North West,Completed,31324082.88,2024-01-21,2025-11-30,SUB-0056
PRJ-0143,Project 143 - Commercial,Commercial,South West,On Hold,22180485.34,2024-09-11,2026-04-30,SUB-0076
PRJ-0144,Project 144 - Industrial,Industrial,London,Cancelled,14404371.11,2024-09-12,2026-04-07,SUB-0029
PRJ-0145,Project 145 - Residential,Residential,South West,In Progress,31797999.24,2024-06-08,2025-07-07,SUB-0007
PRJ-0146,Project 146 - Commercial,Commercial,Wales,In Progress,36445916.36,2024-06-06,2025-01-03,SUB-0050
PRJ-0147,Project 147 - Renovation,Renovation,South East,In Progress,47528024.18,2024-05-01,2025-09-28,SUB-0047
PRJ-0148,Project 148 - Infrastructure,Infrastructure,Midlands,Completed,42377374.28,2024-05-17,2025-08-13,SUB-0053
PRJ-0149,Project 149 - Infrastructure,Infrastructure,North West,Completed,49594481.97,2025-01-30,2026-02-23,SUB-0005
PRJ-0150,Project 150 - Residential,Residential,South East,In Progress,47403012.18,2024-07-31,2026-02-21,SUB-0046
PRJ-0151,Project 151 - Renovation,Renovation,North West,Completed,36129235.48,2024-10-20,2026-05-06,SUB-0037
PRJ-0152,Project 152 - Infrastructure,Infrastructure,Wales,In Progress,32530054.01,2024-07-22,2026-01-28,SUB-0059
PRJ-0153,Project 153 - Infrastructure,Infrastructure,Scotland,In Progress,5040322.11,2024-10-05,2025-10-04,SUB-0035
PRJ-0154,Project 154 - Infrastructure,Infrastructure,South East,Completed,1478439.04,2024-09-23,2025-04-09,SUB-0033
PRJ-0155,Project 155 - Residential,Residential,Midlands,On Hold,12710678.67,2024-11-18,2025-07-14,SUB-0033
PRJ-0156,Project 156 - Renovation,Renovation,London,In Progress,7363397.56,2024-09-24,2025-05-05,SUB-0092
PRJ-0157,Project 157 - Industrial,Industrial,Wales,In Progress,27332912.23,2024-04-22,2025-09-28,SUB-0029
PRJ-0158,Project 158 - Residential,Residential,Wales,Completed,13127793.09,2024-10-07,2026-05-11,SUB-0055
PRJ-0159,Project 159 - Industrial,Industrial,South West,In Progress,34428672.18,2024-01-26,2024-12-03,SUB-0063
PRJ-0160,Project 160 - Residential,Residential,North West,On Hold,30706258.5,2024-01-10,2025-03-28,SUB-0055
PRJ-0161,Project 161 - Industrial,Industrial,South West,In Progress,27455145.9,2024-03-11,2026-01-21,SUB-0045
PRJ-0162,Project 162 - Residential,Residential,South East,In Progress,12588147.54,2024-07-14,2025-08-03,SUB-0071
PRJ-0163,Project 163 - Infrastructure,Infrastructure,North West,Cancelled,37377080.53,2025-01-16,2026-11-21,SUB-0092
PRJ-0164,Project 164 - Residential,Residential,South West,In Progress,23094383.63,2024-11-01,2025-07-18,SUB-0100
PRJ-0165,Project 165 - Renovation,Renovation,South East,In Progress,29505088.02,2024-08-30,2026-01-18,SUB-0025
PRJ-0166,Project 166 - Industrial,Industrial,Midlands,Completed,43098211.01,2024-06-12,2025-03-30,SUB-0037
PRJ-0167,Project 167 - Infrastructure,Infrastructure,London,Completed,42039106.38,2024-05-26,2024-09-27,SUB-0017
PRJ-0168,Project 168 - Industrial,Industrial,South West,Planning,19808098.21,2024-02-25,2025-08-17,SUB-0024
PRJ-0169,Project 169 - Infrastructure,Infrastructure,Wales,In Progress,31173592.04,2024-04-24,2024-12-15,SUB-0100
PRJ-0170,Project 170 - Commercial,Commercial,Wales,Planning,7330877.11,2025-01-08,2025-10-28,SUB-0088
PRJ-0171,Project 171 - Infrastructure,Infrastructure,Scotland,Completed,6036317.72,2024-04-09,2025-01-16,SUB-0080
PRJ-0172,Project 172 - Residential,Residential,Midlands,In Progress,27833153.96,2024-11-29,2026-03-09,SUB-0072
PRJ-0173,Project 173 - Industrial,Industrial,South West,Cancelled,49971384.51,2024-04-28,2025-10-11,SUB-0051
PRJ-0174,Project 174 - Renovation,Renovation,London,Completed,48844871.87,2024-07-25,2025-01-24,SUB-0004
PRJ-0175,Project 175 - Industrial,Industrial,Midlands,Planning,33777089.35,2024-04-28,2025-05-29,SUB-0032
PRJ-0176,Project 176 - Infrastructure,Infrastructure,South West,Completed,41150923.94,2024-05-21,2025-03-31,SUB-0077
PRJ-0177,Project 177 - Residential,Residential,Midlands,Completed,24817243.6,2024-06-06,2025-04-14,SUB-0042
PRJ-0178,Project 178 - Renovation,Renovation,Midlands,On Hold,5256714.03,2024-12-23,2025-09-29,SUB-0023
PRJ-0179,Project 179 - Industrial,Industrial,Midlands,Planning,525677.84,2024-05-03,2025-07-17,SUB-0016
PRJ-0180,Project 180 - Commercial,Commercial,South West,Planning,32786751.52,2024-06-23,2026-03-15,SUB-0009
PRJ-0181,Project 181 - Renovation,Renovation,London,On Hold,41244668.19,2024-05-16,2024-12-22,SUB-0083
PRJ-0182,Project 182 - Commercial,Commercial,South West,Planning,20026835.14,2024-08-03,2025-08-30,SUB-0056
PRJ-0183,Project 183 - Infrastructure,Infrastructure,North West,In Progress,37638166.4,2024-08-23,2025-05-24,SUB-0074
PRJ-0184,Project 184 - Renovation,Renovation,North West,In Progress,10814777.4,2024-07-04,2025-05-05,SUB-0072
PRJ-0185,Project 185 - Renovation,Renovation,South West,In Progress,9179652.32,2025-01-19,2025-07-29,SUB-0076
PRJ-0186,Project 186 - Commercial,Commercial,North West,Cancelled,7291957.26,2024-11-25,2025-04-30,SUB-0005
PRJ-0187,Project 187 - Residential,Residential,Wales,On Hold,48791984.47,2024-03-12,2025-04-05,SUB-0066
PRJ-0188,Project 188 - Industrial,Industrial,Midlands,In Progress,32975657.02,2024-12-15,2026-01-11,SUB-0096
PRJ-0189,Project 189 - Residential,Residential,London,Completed,41513072.78,2024-04-10,2025-10-22,SUB-0029
PRJ-0190,Project 190 - Infrastructure,Infrastructure,London,Planning,30277143.4,2024-10-11,2025-11-13,SUB-0038
PRJ-0191,Project 191 - Industrial,Industrial,North West,Completed,41417268.49,2024-09-04,2025-06-07,SUB-0049
PRJ-0192,Project 192 - Infrastructure,Infrastructure,North West,In Progress,26334964.3,2024-08-12,2025-03-14,SUB-0035
PRJ-0193,Project 193 - Commercial,Commercial,South East,Planning,552839.52,2024-06-29,2025-09-30,SUB-0032
PRJ-0194,Project 194 - Renovation,Renovation,Wales,Completed,9012037.42,2024-03-25,2025-07-16,SUB-0001
PRJ-0195,Project 195 - Residential,Residential,South West,On Hold,3444591.26,2024-02-08,2025-03-15,SUB-0090
PRJ-0196,Project 196 - Infrastructure,Infrastructure,South East,In Progress,34136586.96,2024-03-27,2025-05-05,SUB-0035
PRJ-0197,Project 197 - Commercial,Commercial,North West,In Progress,9218845.81,2024-12-22,2025-06-19,SUB-0022
PRJ-0198,Project 198 - Industrial,Industrial,Wales,In Progress,18357554.98,2024-02-23,2025-07-17,SUB-0008
PRJ-0199,Project 199 - Industrial,Industrial,North West,Completed,10666819.73,2024-07-29,2025-06-28,SUB-0006
PRJ-0200,Project 200 - Industrial,Industrial,Wales,Planning,5816446.34,2024-12-21,2025-05-09,SUB-0081
