content_id,title,genre,content_type,release_year,duration_mins,production_cost_bucket,language
CNT-00038,Thriller Movie 38,Thriller,Movie,2012,108,High ($10M-$50M),English
CNT-00039,Thriller Series 39,Thriller,Series,2016,44,High ($10M-$50M),German
CNT-00040,Comedy Movie 40,Comedy,Movie,2011,123,Blockbuster (>$50M),English
CNT-00041,Comedy Series 41,Comedy,Series,2015,37,Low (<$1M),Spanish
CNT-00042,Thriller Series 42,Thriller,Series,2020,25,Low (<$1M),English
CNT-00043,Action Series 43,Action,Series,2012,54,High ($10M-$50M),English
CNT-00044,Thriller Movie 44,Thriller,Movie,2011,147,High ($10M-$50M),Japanese
CNT-00045,Drama Series 45,Drama,Series,2024,39,Medium ($1M-$10M),English
CNT-00046,Sports Series 46,Sports,Series,2023,54,Medium ($1M-$10M),English
CNT-00047,Thriller Live 47,Thriller,Live,2025,120,Low (<$1M),French
CNT-00048,Comedy Live 48,Comedy,Live,2014,68,Low (<$1M),Spanish
CNT-00049,Comedy Movie 49,Comedy,Movie,2017,108,Low (<$1M),English
CNT-00050,Comedy Movie 50,Comedy,Movie,2019,123,High ($10M-$50M),English
CNT-00051,Thriller Documentary 51,Thriller,Documentary,2022,68,Low (<$1M),English
CNT-00052,Sports Movie 52,Sports,Movie,2019,144,Medium ($1M-$10M),English
CNT-00053,Action Movie 53,Action,Movie,2016,164,Low (<$1M),Korean
CNT-00054,Thriller Documentary 54,Thriller,Documentary,2022,57,High ($10M-$50M),French
CNT-00055,Sci-Fi Series 55,Sci-Fi,Series,2015,24,High ($10M-$50M),English
CNT-00056,News Series 56,News,Series,2014,28,Low (<$1M),English
CNT-00057,Romance Series 57,Romance,Series,2018,28,Medium ($1M-$10M),English
CNT-00058,Drama Movie 58,Drama,Movie,2025,160,Blockbuster (>$50M),English
CNT-00059,Kids Live 59,Kids,Live,2017,94,High ($10M-$50M),English
CNT-00060,Romance Movie 60,Romance,Movie,2021,97,Low (<$1M),German
CNT-00061,Thriller Movie 61,Thriller,Movie,2019,142,Low (<$1M),Spanish
CNT-00062,Sci-Fi Documentary 62,Sci-Fi,Documentary,2022,49,Medium ($1M-$10M),Japanese
CNT-00063,Thriller Movie 63,Thriller,Movie,2021,175,Low (<$1M),French
CNT-00064,News Series 64,News,Series,2019,20,Medium ($1M-$10M),English
CNT-00065,Thriller Series 65,Thriller,Series,2013,48,Blockbuster (>$50M),English
CNT-00066,News Movie 66,News,Movie,2020,129,Medium ($1M-$10M),Japanese
CNT-00067,Sci-Fi Documentary 67,Sci-Fi,Documentary,2023,58,Low (<$1M),English
CNT-00068,Sci-Fi Movie 68,Sci-Fi,Movie,2012,177,Blockbuster (>$50M),English
CNT-00069,Comedy Series 69,Comedy,Series,2025,46,High ($10M-$50M),English
CNT-00070,Thriller Documentary 70,Thriller,Documentary,2021,40,Blockbuster (>$50M),English
CNT-00071,Sports Movie 71,Sports,Movie,2017,144,High ($10M-$50M),English
CNT-00072,News Live 72,News,Live,2014,82,Medium ($1M-$10M),English
CNT-00073,News Live 73,News,Live,2018,141,Blockbuster (>$50M),Korean
CNT-00074,Comedy Live 74,Comedy,Live,2011,35,Blockbuster (>$50M),German
CNT-00075,Romance Documentary 75,Romance,Documentary,2023,45,Low (<$1M),English
CNT-00076,Action Movie 76,Action,Movie,2024,81,High ($10M-$50M),English
CNT-00077,Comedy Series 77,Comedy,Series,2025,21,Low (<$1M),Korean
CNT-00078,Sports Live 78,Sports,Live,2024,147,High ($10M-$50M),German
CNT-00079,Kids Movie 79,Kids,Movie,2011,84,Medium ($1M-$10M),Japanese
CNT-00080,Comedy Live 80,Comedy,Live,2012,84,High ($10M-$50M),English
CNT-00081,Action Documentary 81,Action,Documentary,2021,79,Low (<$1M),French
CNT-00082,Romance Documentary 82,Romance,Documentary,2021,65,Low (<$1M),English
CNT-00083,Drama Series 83,Drama,Series,2018,55,Medium ($1M-$10M),French
CNT-00084,Sci-Fi Documentary 84,Sci-Fi,Documentary,2014,70,Medium ($1M-$10M),German
CNT-00085,Kids Movie 85,Kids,Movie,2017,175,Medium ($1M-$10M),English
CNT-00086,News Movie 86,News,Movie,2014,175,Medium ($1M-$10M),English
CNT-00087,Kids Series 87,Kids,Series,2012,42,Low (<$1M),French
CNT-00088,Kids Movie 88,Kids,Movie,2016,110,Medium ($1M-$10M),English
CNT-00089,Drama Series 89,Drama,Series,2018,40,High ($10M-$50M),English
CNT-00090,Romance Series 90,Romance,Series,2016,27,Medium ($1M-$10M),English
CNT-00091,Sports Documentary 91,Sports,Documentary,2012,81,Medium ($1M-$10M),English
CNT-00092,Thriller Movie 92,Thriller,Movie,2023,132,Medium ($1M-$10M),English
CNT-00093,Sports Movie 93,Sports,Movie,2011,165,Medium ($1M-$10M),English
CNT-00094,Documentary Live 94,Documentary,Live,2010,139,High ($10M-$50M),Korean
CNT-00095,Sci-Fi Series 95,Sci-Fi,Series,2020,25,Medium ($1M-$10M),Spanish
CNT-00096,Comedy Live 96,Comedy,Live,2014,81,High ($10M-$50M),German
CNT-00097,Thriller Movie 97,Thriller,Movie,2020,144,Medium ($1M-$10M),English
CNT-00098,Documentary Live 98,Documentary,Live,2025,141,Medium ($1M-$10M),Korean
CNT-00099,Romance Series 99,Romance,Series,2023,25,Low (<$1M),Japanese
CNT-00100,Drama Series 100,Drama,Series,2012,53,Low (<$1M),Spanish
CNT-00101,Romance Movie 101,Romance,Movie,2013,103,Medium ($1M-$10M),English
CNT-00102,Kids Movie 102,Kids,Movie,2023,164,Medium ($1M-$10M),French
CNT-00103,Sci-Fi Movie 103,Sci-Fi,Movie,2021,157,Medium ($1M-$10M),English
CNT-00104,Drama Series 104,Drama,Series,2022,39,High ($10M-$50M),English
CNT-00105,Drama Live 105,Drama,Live,2016,101,Medium ($1M-$10M),English
CNT-00106,Drama Series 106,Drama,Series,2024,55,Medium ($1M-$10M),English
CNT-00107,Drama Movie 107,Drama,Movie,2019,99,Medium ($1M-$10M),English
CNT-00108,Thriller Movie 108,Thriller,Movie,2014,121,High ($10M-$50M),French
CNT-00109,Sports Series 109,Sports,Series,2025,42,Blockbuster (>$50M),German
CNT-00110,Sci-Fi Live 110,Sci-Fi,Live,2023,85,Low (<$1M),Japanese
CNT-00111,Romance Series 111,Romance,Series,2016,39,Blockbuster (>$50M),English
CNT-00112,Thriller Live 112,Thriller,Live,2015,107,Low (<$1M),English
CNT-00113,Thriller Documentary 113,Thriller,Documentary,2023,67,Blockbuster (>$50M),English
CNT-00114,Kids Movie 114,Kids,Movie,2018,102,High ($10M-$50M),Spanish
CNT-00115,Documentary Series 115,Documentary,Series,2025,21,Low (<$1M),German
CNT-00116,Action Live 116,Action,Live,2023,30,High ($10M-$50M),Japanese
CNT-00117,Thriller Series 117,Thriller,Series,2013,28,Low (<$1M),English
CNT-00118,Sports Movie 118,Sports,Movie,2016,156,Blockbuster (>$50M),German
CNT-00119,Kids Series 119,Kids,Series,2022,50,Low (<$1M),French
CNT-00120,Sports Movie 120,Sports,Movie,2024,135,Low (<$1M),English
CNT-00121,Kids Live 121,Kids,Live,2018,116,Low (<$1M),English
CNT-00122,Thriller Series 122,Thriller,Series,2025,26,High ($10M-$50M),French
CNT-00123,Kids Series 123,Kids,Series,2015,52,Medium ($1M-$10M),English
CNT-00124,Comedy Movie 124,Comedy,Movie,2017,110,Medium ($1M-$10M),English
CNT-00125,Sports Live 125,Sports,Live,2018,146,Low (<$1M),Korean
CNT-00126,News Movie 126,News,Movie,2024,169,Medium ($1M-$10M),Japanese
CNT-00127,Romance Movie 127,Romance,Movie,2023,145,Medium ($1M-$10M),English
CNT-00128,Documentary Series 128,Documentary,Series,2022,29,High ($10M-$50M),English
CNT-00129,Thriller Series 129,Thriller,Series,2014,55,Blockbuster (>$50M),Japanese
CNT-00130,Sports Series 130,Sports,Series,2011,31,High ($10M-$50M),Spanish
CNT-00131,Thriller Movie 131,Thriller,Movie,2025,123,Low (<$1M),English
CNT-00132,Thriller Movie 132,Thriller,Movie,2017,179,Medium ($1M-$10M),English
CNT-00133,Sports Series 133,Sports,Series,2022,24,High ($10M-$50M),English
CNT-00134,Action Series 134,Action,Series,2016,28,Low (<$1M),English
CNT-00135,Comedy Series 135,Comedy,Series,2014,20,Medium ($1M-$10M),English
CNT-00136,Kids Live 136,Kids,Live,2014,94,Medium ($1M-$10M),English
CNT-00137,Sports Movie 137,Sports,Movie,2021,149,Blockbuster (>$50M),English
CNT-00138,Drama Series 138,Drama,Series,2012,26,Low (<$1M),English
CNT-00139,Action Movie 139,Action,Movie,2023,80,Low (<$1M),French
CNT-00140,Action Series 140,Action,Series,2019,28,High ($10M-$50M),English
CNT-00141,News Movie 141,News,Movie,2024,142,High ($10M-$50M),English
CNT-00142,Sci-Fi Series 142,Sci-Fi,Series,2019,54,Blockbuster (>$50M),English
CNT-00143,Comedy Live 143,Comedy,Live,2011,68,Low (<$1M),English
CNT-00144,Romance Movie 144,Romance,Movie,2010,167,Medium ($1M-$10M),English
CNT-00145,Romance Series 145,Romance,Series,2014,46,Medium ($1M-$10M),Korean
CNT-00146,Sci-Fi Movie 146,Sci-Fi,Movie,2012,158,High ($10M-$50M),English
CNT-00147,Comedy Movie 147,Comedy,Movie,2024,180,Blockbuster (>$50M),French
CNT-00148,Action Documentary 148,Action,Documentary,2024,45,Medium ($1M-$10M),French
CNT-00149,Sci-Fi Series 149,Sci-Fi,Series,2012,21,High ($10M-$50M),Korean
CNT-00150,Documentary Series 150,Documentary,Series,2013,25,High ($10M-$50M),English
CNT-00151,Comedy Series 151,Comedy,Series,2022,39,High ($10M-$50M),French
CNT-00152,Romance Documentary 152,Romance,Documentary,2016,48,Medium ($1M-$10M),English
CNT-00153,Drama Series 153,Drama,Series,2025,38,Blockbuster (>$50M),English
CNT-00154,Action Movie 154,Action,Movie,2025,116,Low (<$1M),English
CNT-00155,Drama Series 155,Drama,Series,2020,36,Medium ($1M-$10M),English
CNT-00156,Sports Series 156,Sports,Series,2022,39,Medium ($1M-$10M),English
CNT-00157,Romance Live 157,Romance,Live,2018,134,Low (<$1M),Japanese
CNT-00158,Action Documentary 158,Action,Documentary,2016,95,High ($10M-$50M),Korean
CNT-00159,Romance Series 159,Romance,Series,2019,31,Medium ($1M-$10M),French
CNT-00160,News Series 160,News,Series,2013,22,Medium ($1M-$10M),English
CNT-00161,Drama Series 161,Drama,Series,2010,25,Blockbuster (>$50M),English
CNT-00162,Drama Live 162,Drama,Live,2024,100,Low (<$1M),English
CNT-00163,Kids Series 163,Kids,Series,2017,38,Low (<$1M),English
CNT-00164,Documentary Series 164,Documentary,Series,2017,44,Low (<$1M),English
CNT-00165,Drama Documentary 165,Drama,Documentary,2022,82,Blockbuster (>$50M),Spanish
CNT-00166,Thriller Movie 166,Thriller,Movie,2012,121,Medium ($1M-$10M),French
CNT-00167,Sports Series 167,Sports,Series,2016,50,Low (<$1M),English
CNT-00168,News Live 168,News,Live,2019,75,High ($10M-$50M),English
CNT-00169,Sports Live 169,Sports,Live,2010,78,Low (<$1M),Spanish
CNT-00170,Sci-Fi Documentary 170,Sci-Fi,Documentary,2011,80,Low (<$1M),Korean
CNT-00171,Romance Series 171,Romance,Series,2012,34,High ($10M-$50M),Korean
CNT-00172,Documentary Series 172,Documentary,Series,2013,45,Low (<$1M),English
CNT-00173,Action Live 173,Action,Live,2015,137,Medium ($1M-$10M),English
CNT-00174,News Series 174,News,Series,2012,33,Low (<$1M),Spanish
CNT-00175,Sports Movie 175,Sports,Movie,2015,176,Low (<$1M),English
CNT-00176,News Movie 176,News,Movie,2024,95,Medium ($1M-$10M),French
CNT-00177,Thriller Series 177,Thriller,Series,2020,34,Blockbuster (>$50M),Japanese
CNT-00178,Comedy Series 178,Comedy,Series,2012,50,Blockbuster (>$50M),English
CNT-00179,Thriller Live 179,Thriller,Live,2020,71,High ($10M-$50M),Japanese
CNT-00180,Romance Documentary 180,Romance,Documentary,2017,69,Medium ($1M-$10M),English
CNT-00181,Documentary Movie 181,Documentary,Movie,2016,108,Low (<$1M),English
CNT-00182,Kids Series 182,Kids,Series,2024,25,Medium ($1M-$10M),German
CNT-00183,Drama Series 183,Drama,Series,2011,43,Blockbuster (>$50M),English
CNT-00184,Kids Series 184,Kids,Series,2023,55,Low (<$1M),English
CNT-00185,Sci-Fi Documentary 185,Sci-Fi,Documentary,2017,81,High ($10M-$50M),English
CNT-00186,News Series 186,News,Series,2021,46,Medium ($1M-$10M),French
CNT-00187,News Documentary 187,News,Documentary,2015,68,High ($10M-$50M),English
CNT-00188,Kids Series 188,Kids,Series,2012,29,Low (<$1M),German
CNT-00189,Sci-Fi Movie 189,Sci-Fi,Movie,2024,146,Low (<$1M),Japanese
CNT-00190,Drama Movie 190,Drama,Movie,2020,172,Low (<$1M),English
CNT-00191,Documentary Series 191,Documentary,Series,2024,30,Low (<$1M),English
CNT-00192,Thriller Documentary 192,Thriller,Documentary,2019,72,Low (<$1M),French
CNT-00193,Sci-Fi Series 193,Sci-Fi,Series,2017,55,Low (<$1M),English
CNT-00194,Romance Series 194,Romance,Series,2017,33,Blockbuster (>$50M),Korean
CNT-00195,Sports Series 195,Sports,Series,2017,39,Medium ($1M-$10M),English
CNT-00196,Romance Documentary 196,Romance,Documentary,2023,57,Blockbuster (>$50M),Japanese
CNT-00197,Documentary Series 197,Documentary,Series,2020,47,Low (<$1M),French
CNT-00198,Kids Movie 198,Kids,Movie,2019,126,Medium ($1M-$10M),English
CNT-00199,Documentary Movie 199,Documentary,Movie,2015,166,Medium ($1M-$10M),Japanese
CNT-00200,Action Movie 200,Action,Movie,2022,150,Low (<$1M),English
CNT-00201,Documentary Movie 201,Documentary,Movie,2010,99,Medium ($1M-$10M),Spanish
CNT-00202,Kids Movie 202,Kids,Movie,2012,174,High ($10M-$50M),English
CNT-00203,Documentary Movie 203,Documentary,Movie,2021,147,Low (<$1M),English
CNT-00204,Sports Series 204,Sports,Series,2020,30,High ($10M-$50M),Spanish
CNT-00205,Comedy Series 205,Comedy,Series,2011,23,Medium ($1M-$10M),English
CNT-00206,Thriller Movie 206,Thriller,Movie,2020,117,Medium ($1M-$10M),Japanese
CNT-00207,Thriller Series 207,Thriller,Series,2016,49,High ($10M-$50M),Japanese
CNT-00208,Drama Documentary 208,Drama,Documentary,2012,54,High ($10M-$50M),English
CNT-00209,Drama Movie 209,Drama,Movie,2018,133,Low (<$1M),English
CNT-00210,Action Movie 210,Action,Movie,2020,114,High ($10M-$50M),English
CNT-00211,Action Live 211,Action,Live,2018,134,High ($10M-$50M),English
CNT-00212,News Series 212,News,Series,2014,41,High ($10M-$50M),English
CNT-00213,Sci-Fi Series 213,Sci-Fi,Series,2016,36,Low (<$1M),Japanese
CNT-00214,Documentary Movie 214,Documentary,Movie,2012,114,Low (<$1M),Japanese
CNT-00215,Romance Movie 215,Romance,Movie,2025,180,Medium ($1M-$10M),English
CNT-00216,Romance Documentary 216,Romance,Documentary,2023,93,Low (<$1M),English
CNT-00217,Thriller Series 217,Thriller,Series,2010,30,Medium ($1M-$10M),Japanese
CNT-00218,News Movie 218,News,Movie,2010,133,Medium ($1M-$10M),English
CNT-00219,Documentary Live 219,Documentary,Live,2011,80,Medium ($1M-$10M),English
CNT-00220,Sports Series 220,Sports,Series,2015,25,Medium ($1M-$10M),German
CNT-00221,Drama Movie 221,Drama,Movie,2019,80,High ($10M-$50M),English
CNT-00222,Sports Series 222,Sports,Series,2017,49,Blockbuster (>$50M),English
CNT-00223,Kids Movie 223,Kids,Movie,2014,139,Low (<$1M),English
CNT-00224,Romance Series 224,Romance,Series,2012,38,Low (<$1M),Korean
CNT-00225,Drama Movie 225,Drama,Movie,2018,116,Low (<$1M),French
CNT-00226,Drama Documentary 226,Drama,Documentary,2024,41,Low (<$1M),English
CNT-00227,Kids Movie 227,Kids,Movie,2013,142,High ($10M-$50M),Japanese
CNT-00228,Sports Documentary 228,Sports,Documentary,2010,64,Medium ($1M-$10M),English
CNT-00229,Action Live 229,Action,Live,2024,99,Blockbuster (>$50M),English
CNT-00230,Comedy Series 230,Comedy,Series,2019,48,Low (<$1M),English
CNT-00231,Thriller Documentary 231,Thriller,Documentary,2010,45,Medium ($1M-$10M),English
CNT-00232,News Series 232,News,Series,2024,33,Blockbuster (>$50M),English
CNT-00233,Documentary Series 233,Documentary,Series,2016,36,High ($10M-$50M),French
CNT-00234,Kids Series 234,Kids,Series,2016,22,Low (<$1M),English
CNT-00235,Thriller Movie 235,Thriller,Movie,2022,119,High ($10M-$50M),English
CNT-00236,News Documentary 236,News,Documentary,2019,50,High ($10M-$50M),English
CNT-00237,Sports Documentary 237,Sports,Documentary,2024,61,Low (<$1M),English
CNT-00238,News Series 238,News,Series,2010,22,High ($10M-$50M),Korean
CNT-00239,Documentary Movie 239,Documentary,Movie,2019,127,Medium ($1M-$10M),Korean
CNT-00240,Sci-Fi Series 240,Sci-Fi,Series,2014,22,Low (<$1M),Japanese
CNT-00241,Documentary Documentary 241,Documentary,Documentary,2011,70,High ($10M-$50M),English
CNT-00242,Thriller Documentary 242,Thriller,Documentary,2015,72,Low (<$1M),Japanese
CNT-00243,Documentary Documentary 243,Documentary,Documentary,2021,71,Medium ($1M-$10M),English
CNT-00244,Romance Movie 244,Romance,Movie,2022,169,High ($10M-$50M),English
CNT-00245,Sci-Fi Movie 245,Sci-Fi,Movie,2025,168,Medium ($1M-$10M),German
CNT-00246,News Series 246,News,Series,2016,24,Medium ($1M-$10M),English
CNT-00247,Thriller Movie 247,Thriller,Movie,2017,132,Low (<$1M),English
CNT-00248,Comedy Documentary 248,Comedy,Documentary,2016,51,High ($10M-$50M),Spanish
CNT-00249,News Documentary 249,News,Documentary,2024,76,Medium ($1M-$10M),English
CNT-00250,Romance Series 250,Romance,Series,2025,33,Blockbuster (>$50M),English
CNT-00251,News Documentary 251,News,Documentary,2016,56,Blockbuster (>$50M),Korean
CNT-00252,Action Live 252,Action,Live,2012,143,Medium ($1M-$10M),Spanish
CNT-00253,Sci-Fi Series 253,Sci-Fi,Series,2025,34,Blockbuster (>$50M),English
CNT-00254,Action Movie 254,Action,Movie,2025,99,Low (<$1M),Korean
CNT-00255,News Documentary 255,News,Documentary,2019,86,Blockbuster (>$50M),English
CNT-00256,Sports Series 256,Sports,Series,2018,33,Blockbuster (>$50M),Spanish
CNT-00257,Sci-Fi Series 257,Sci-Fi,Series,2023,37,Medium ($1M-$10M),English
CNT-00258,Drama Movie 258,Drama,Movie,2022,137,Medium ($1M-$10M),Spanish
CNT-00259,Action Movie 259,Action,Movie,2023,83,Blockbuster (>$50M),English
CNT-00260,Documentary Documentary 260,Documentary,Documentary,2025,88,Low (<$1M),English
CNT-00261,Thriller Movie 261,Thriller,Movie,2012,86,Blockbuster (>$50M),English
CNT-00262,News Movie 262,News,Movie,2022,131,Medium ($1M-$10M),Korean
CNT-00263,Comedy Movie 263,Comedy,Movie,2017,115,Medium ($1M-$10M),Spanish
CNT-00264,Documentary Live 264,Documentary,Live,2018,44,Low (<$1M),English
CNT-00265,Comedy Series 265,Comedy,Series,2022,44,High ($10M-$50M),English
CNT-00266,Documentary Movie 266,Documentary,Movie,2011,163,Medium ($1M-$10M),English
CNT-00267,Thriller Documentary 267,Thriller,Documentary,2011,64,Medium ($1M-$10M),English
CNT-00268,Kids Series 268,Kids,Series,2013,28,Medium ($1M-$10M),English
CNT-00269,Action Documentary 269,Action,Documentary,2014,66,Low (<$1M),Japanese
CNT-00270,Kids Live 270,Kids,Live,2016,139,Medium ($1M-$10M),Korean
CNT-00271,Drama Series 271,Drama,Series,2022,32,Blockbuster (>$50M),English
CNT-00272,Romance Live 272,Romance,Live,2018,74,High ($10M-$50M),English
CNT-00273,News Movie 273,News,Movie,2016,155,Medium ($1M-$10M),Japanese
CNT-00274,Comedy Movie 274,Comedy,Movie,2011,136,Blockbuster (>$50M),English
CNT-00275,Drama Series 275,Drama,Series,2013,30,High ($10M-$50M),German
CNT-00276,Sports Series 276,Sports,Series,2017,48,Low (<$1M),English
CNT-00277,Drama Series 277,Drama,Series,2023,24,Low (<$1M),English
CNT-00278,Sci-Fi Live 278,Sci-Fi,Live,2023,43,Medium ($1M-$10M),Japanese
CNT-00279,Drama Movie 279,Drama,Movie,2013,116,Medium ($1M-$10M),English
CNT-00280,Kids Movie 280,Kids,Movie,2014,98,Low (<$1M),English
CNT-00281,Sports Movie 281,Sports,Movie,2018,117,Blockbuster (>$50M),English
CNT-00282,Sci-Fi Documentary 282,Sci-Fi,Documentary,2025,74,Medium ($1M-$10M),Korean
CNT-00283,News Series 283,News,Series,2022,48,Low (<$1M),English
CNT-00284,Action Series 284,Action,Series,2019,36,Medium ($1M-$10M),Korean
CNT-00285,Sci-Fi Live 285,Sci-Fi,Live,2011,57,Blockbuster (>$50M),Korean
CNT-00286,Sports Movie 286,Sports,Movie,2016,92,Low (<$1M),French
CNT-00287,Kids Series 287,Kids,Series,2019,32,Low (<$1M),English
CNT-00288,Documentary Documentary 288,Documentary,Documentary,2016,82,High ($10M-$50M),German
CNT-00289,Sci-Fi Live 289,Sci-Fi,Live,2025,51,Blockbuster (>$50M),English
CNT-00290,Documentary Live 290,Documentary,Live,2013,80,Low (<$1M),Spanish
CNT-00291,Action Series 291,Action,Series,2021,35,High ($10M-$50M),Japanese
CNT-00292,Documentary Live 292,Documentary,Live,2013,131,Low (<$1M),French
CNT-00293,Sports Movie 293,Sports,Movie,2024,83,High ($10M-$50M),English
CNT-00294,News Live 294,News,Live,2015,48,Low (<$1M),English
CNT-00295,Kids Documentary 295,Kids,Documentary,2018,66,High ($10M-$50M),Spanish
CNT-00296,Romance Series 296,Romance,Series,2024,28,Low (<$1M),German
CNT-00297,Thriller Series 297,Thriller,Series,2012,23,Low (<$1M),English
CNT-00298,Documentary Live 298,Documentary,Live,2024,55,High ($10M-$50M),English
CNT-00299,Comedy Movie 299,Comedy,Movie,2010,105,Medium ($1M-$10M),English
CNT-00300,Thriller Series 300,Thriller,Series,2010,29,Low (<$1M),French
CNT-00301,Comedy Documentary 301,Comedy,Documentary,2019,51,High ($10M-$50M),English
CNT-00302,Sports Documentary 302,Sports,Documentary,2014,70,Medium ($1M-$10M),Japanese
CNT-00303,Comedy Documentary 303,Comedy,Documentary,2011,83,Medium ($1M-$10M),Korean
CNT-00304,Sci-Fi Live 304,Sci-Fi,Live,2023,35,High ($10M-$50M),English
CNT-00305,Thriller Series 305,Thriller,Series,2020,28,Medium ($1M-$10M),English
CNT-00306,News Documentary 306,News,Documentary,2013,84,High ($10M-$50M),German
CNT-00307,Sci-Fi Live 307,Sci-Fi,Live,2017,52,High ($10M-$50M),Spanish
CNT-00308,Thriller Series 308,Thriller,Series,2020,32,Medium ($1M-$10M),Spanish
CNT-00309,News Documentary 309,News,Documentary,2011,63,High ($10M-$50M),English
CNT-00310,Documentary Documentary 310,Documentary,Documentary,2014,83,High ($10M-$50M),English
CNT-00311,Documentary Live 311,Documentary,Live,2025,109,Low (<$1M),German
CNT-00312,Action Series 312,Action,Series,2010,37,Medium ($1M-$10M),Korean
CNT-00313,Sports Documentary 313,Sports,Documentary,2023,62,High ($10M-$50M),English
CNT-00314,Action Live 314,Action,Live,2024,118,Low (<$1M),English
CNT-00315,Sci-Fi Movie 315,Sci-Fi,Movie,2016,104,Blockbuster (>$50M),German
CNT-00316,Action Live 316,Action,Live,2018,142,Medium ($1M-$10M),English
CNT-00317,Drama Documentary 317,Drama,Documentary,2023,51,Medium ($1M-$10M),French
CNT-00318,Sports Documentary 318,Sports,Documentary,2024,49,Blockbuster (>$50M),English
CNT-00319,Documentary Movie 319,Documentary,Movie,2012,101,Low (<$1M),Spanish
CNT-00320,Comedy Movie 320,Comedy,Movie,2023,133,Medium ($1M-$10M),Japanese
CNT-00321,Kids Series 321,Kids,Series,2017,51,High ($10M-$50M),English
CNT-00322,News Series 322,News,Series,2012,22,High ($10M-$50M),English
CNT-00323,Sci-Fi Live 323,Sci-Fi,Live,2021,59,High ($10M-$50M),Korean
CNT-00324,Drama Live 324,Drama,Live,2014,54,Low (<$1M),German
CNT-00325,Comedy Series 325,Comedy,Series,2013,30,Medium ($1M-$10M),French
CNT-00326,Documentary Series 326,Documentary,Series,2012,53,High ($10M-$50M),German
CNT-00327,Romance Series 327,Romance,Series,2010,22,Low (<$1M),English
CNT-00328,Kids Live 328,Kids,Live,2013,123,High ($10M-$50M),English
CNT-00329,Thriller Series 329,Thriller,Series,2011,37,Blockbuster (>$50M),English
CNT-00330,Romance Series 330,Romance,Series,2021,55,Low (<$1M),English
CNT-00331,News Series 331,News,Series,2018,53,Blockbuster (>$50M),English
